30344	0	0	0
30466	0	1	0
31084	0	0	0
34552	1	0	0
32538	1	0	0
32951	0	0	0
33564	0	0	0
31367	1	0	0
34047	0	0	0
33491	1	1	0
33064	0	0	0
32025	1	0	0
31184	1	1	0
30102	1	1	0
31454	0	0	0
32070	0	0	0
31241	0	0	0
30333	1	1	0
31923	1	1	0
31966	0	0	0
30277	0	0	0
31477	0	0	0
33750	0	0	0
31311	1	0	0
32895	1	1	0
32600	0	0	0
33630	1	1	0
31698	0	0	0
30561	0	0	0
33567	1	1	0
33796	0	0	0
33050	1	1	0
34377	1	0	0
30752	1	0	0
33470	1	1	0
30338	1	0	0
32228	0	0	0
30111	0	0	0
30131	1	0	0
34140	0	0	0
32679	0	0	0
30757	0	0	0
32433	0	0	0
33084	0	0	0
30685	0	0	0
34515	1	0	0
33370	1	0	0
33116	1	1	0
34339	0	0	0
34330	0	0	0
33863	1	0	0
33042	1	0	0
33384	0	0	0
32008	1	1	0
33661	0	0	0
34304	0	0	0
33647	0	0	0
34204	1	1	0
32618	0	0	0
33739	0	0	0
32216	0	0	0
30719	1	1	0
32410	1	1	0
33952	0	0	0
31271	0	0	0
33855	0	0	0
32235	0	0	0
33051	1	1	0
33968	1	0	0
32178	1	0	0
30029	0	0	0
33371	1	1	0
33414	0	0	0
31826	1	0	0
33572	1	0	0
31791	1	0	0
32287	0	0	0
30828	1	0	0
32918	0	0	0
30815	1	1	0
32905	0	0	0
31711	1	1	0
33993	0	0	0
30122	0	0	0
31077	0	0	0
30030	1	1	0
32373	1	0	0
32240	1	0	0
30256	0	0	0
32993	1	1	0
30130	0	0	0
30840	1	0	0
33107	0	0	0
32821	0	0	0
33756	0	0	0
30454	0	0	0
32923	1	0	0
32153	1	1	0
33671	0	0	0
32125	1	0	0
33730	0	0	0
33998	1	0	0
33710	0	0	0
30602	0	0	0
30876	1	0	0
33977	0	0	0
32521	0	0	0
31903	1	0	0
30358	0	0	0
34127	0	0	0
34578	0	0	0
34045	1	0	0
30057	0	0	0
32362	0	0	0
32130	1	0	0
33987	0	0	0
30299	1	1	1
31118	0	0	0
33162	1	0	0
32474	0	0	0
34523	0	0	0
32461	1	0	0
32546	0	0	0
32316	0	0	0
31413	0	0	0
34244	0	0	0
31661	0	0	0
30617	0	0	0
30559	0	0	0
34439	1	0	0
31213	1	1	0
30740	0	0	0
32567	1	1	0
32372	1	1	0
34224	1	0	0
31370	0	0	0
31918	0	0	0
34347	0	0	0
32789	1	0	0
34364	1	0	0
33839	0	0	0
34381	0	0	0
32768	0	0	0
33551	1	1	0
30394	1	0	0
30178	1	1	0
33361	0	0	0
31771	1	0	0
30965	0	0	0
34437	0	0	0
32605	1	0	0
31144	1	1	0
31997	0	0	0
30587	1	1	0
32747	0	0	0
33441	1	0	0
34236	0	0	0
33057	0	0	0
33076	1	0	0
33406	1	1	0
32003	0	0	0
34208	1	1	0
33894	1	0	0
32341	1	1	0
32721	1	1	0
33226	1	1	0
33440	1	0	0
33591	0	1	0
34411	0	0	0
30451	0	0	0
32509	0	0	0
33105	1	0	0
30860	0	0	0
30911	0	0	0
31202	0	0	0
33511	1	0	0
31050	1	0	0
31078	0	1	0
30584	0	0	0
