31568	1
30734	1
31227	0
31224	1
31139	1
34076	1
32479	1
32985	0
30284	0
30072	1
34098	1
33818	1
34138	1
34165	1
30974	1
33150	1
30574	1
32162	1
32904	1
31484	1
31961	1
31616	1
31027	1
31231	1
33327	1
31276	1
33238	1
31004	1
34187	1
34421	1
34441	1
33715	0
31820	1
32578	1
32716	0
33494	1
32949	1
33195	1
33561	1
30424	1
31576	0
30576	1
33935	0
32669	1
34116	1
32847	1
32871	1
31278	1
30145	1
33504	1
32754	0
34570	1
30137	1
32921	1
33417	1
30646	1
31107	1
33964	1
33025	1
32653	0
32084	1
31833	1
30088	1
32698	0
33231	1
31549	1
33071	1
33237	1
34525	1
31574	1
33918	1
34017	1
34459	1
34560	1
30252	0
34433	1
34245	1
30691	1
31595	1
30537	1
31438	1
31804	1
32767	1
30614	1
32023	1
34196	1
31099	1
34228	1
32212	0
31570	1
31647	1
32687	1
34202	1
33771	0
32744	1
33595	1
32520	1
34527	1
32438	1
32537	0
31978	0
34020	0
33438	1
33865	1
32151	0
34388	1
30700	1
32697	1
30146	1
31066	1
31330	1
31565	1
33974	1
33016	1
33481	0
30848	1
31857	0
33553	0
30303	1
32726	1
34511	1
30552	1
31262	0
33784	1
31654	1
33883	1
30651	1
31729	0
32971	1
30800	1
30745	1
30392	1
30302	0
32249	1
32202	1
34289	1
34110	1
30165	1
30759	1
31140	1
31602	1
33642	0
33718	1
31615	1
32078	0
32571	1
32172	1
30981	1
32168	1
31522	1
34261	1
33199	1
33860	1
30766	1
33606	1
30372	1
31172	1
31992	1
33523	1
34405	1
31444	1
30777	1
32401	1
33243	1
32608	1
34359	0
31056	1
34374	1
30176	1
30420	1
32386	0
34426	1
30852	1
30950	1
33043	1
31223	1
33055	0
32705	1
31176	1
30544	1
31012	0
30993	1
32742	1
33278	1
30001	1
32444	1
34198	1
32844	1
31591	1
33469	1
30092	0
32701	1
34379	0
31788	1
31331	1
30353	1
30112	1
32370	1
33850	0
32152	1
33345	1
34369	0
33500	1
31026	1
33434	1
33527	1
30503	1
33966	1
34205	1
31719	1
31527	1
31458	1
32193	1
30036	1
33156	1
32735	1
30361	0
30175	1
30306	0
30051	0
33180	1
33801	1
33360	1
32958	1
34529	1
32753	1
30023	1
32524	1
34464	1
32208	1
30402	1
33418	1
30724	1
32124	1
32654	1
30357	0
31193	1
